"Organização - Nome","Organização - Atividade econômica","Organização - Negócios em aberto","Organização - Pessoas","Organização - Negócios ganhos","Organização - Negócios perdidos","Organização - Tipo","Organização - Atividades concluídas","Organização - Número de mensagens de e-mail","Organização - Cidade (sede do MKT)","Organização - # Pessoas no MKT","Organização - Investimento MKT (ano)","Organização - UF","Organização - Canal","Organização - Porte","Organização - Nível de satisfação"
"Carrano","","0","0","0","0","","0","0","","0","","","","",""
"Cartola (RS)","","0","1","3","3","","2","0","","0","","","","",""
"Cartoon Network","","0","0","0","1","","1","0","","0","","","","",""
"Casa Valduga","","0","0","0","1","","0","0","","0","","","","",""
"Casa Valduga","","0","0","0","0","","0","0","","0","","","","",""
"Casan","","0","0","0","0","","0","0","","0","","","","",""
"Casaredo","","0","0","0","0","","0","0","","0","","","","",""
"Casas da Água","","1","0","0","0","","0","0","","0","","","","",""
"Cassol Centerlar","","0","0","0","1","","1","0","","0","","","","",""
"CAU-RS","","0","0","0","0","","0","0","","0","","","","",""
"Caza","","0","1","0","1","","0","0","","0","","","","",""
"Caza Wilfrido","","0","0","0","0","","0","0","","0","","","","",""
"CBL","","0","0","0","0","","0","0","","0","","","","",""
"CCGL","","0","0","0","1","","1","0","","0","","","","",""
"CCR","","1","0","0","0","","2","0","","0","","","","",""
"CCR","","0","0","0","0","","0","0","","0","","","","",""
"CCZCOM (PR)","","0","12","14","32","agência","11","6","Curitiba","0","","","","",""
"CDL","","0","1","0","1","","10","0","","0","","","","",""
"Cecilia Dale","","0","0","0","0","","0","0","","0","","","","",""
"CEEE","","0","0","3","0","anunciante","0","0","","0","","","","",""
"Celesc","","1","0","0","0","","0","0","","0","","","","",""
"Censi Emprendimentos","","0","0","0","0","","0","0","","0","","","","",""
"Center Mall","","0","0","0","0","","0","0","","0","","","","",""
"CentralServer","","0","1","0","1","","0","0","","0","","","","",""
"Centro (RS)","","0","2","11","8","","18","0","","0","","","","","Baixo"
"Centro Tecnologico Positivo","","1","0","0","0","","1","0","","0","","","","",""
"Centro Tecnologico Positivo","","0","0","0","0","","0","0","","0","","","","",""
"CentroEco","","0","0","0","1","","0","0","","0","","","","",""
"Centrum","","0","0","0","0","","0","0","","0","","","","",""
"Chope Barley","","0","0","0","0","","0","0","","0","","","","",""
"Cia. Hering","","1","0","0","0","","0","0","","0","","","","",""
"CIEE","","1","0","0","0","","0","0","","0","","","","",""
"Cinco Marias","","0","1","0","1","","0","0","","0","","","","",""
"Citibank","Financeiro","0","1","3","1","anunciante","6","0","","0","acima R$ 5 Mi","","agência","Grande",""
"Claro PR","","1","1","0","0","anunciante","6","0","","0","","","","",""
"Claro RS","Comércio - Atacado e Varejo","0","2","6","0","anunciante","10","0","Porto Alegre","5","acima R$ 5 Mi","Rio Grande do Sul","direto","Grande","Alto"
"ClicDireito","","1","1","0","0","","0","0","","0","","","","",""
"Clínica Central de Consultas","","0","0","0","0","","0","0","","0","","","","",""
"Clinipam","","1","1","0","0","","0","0","","0","","","","",""
"Clint.Solutions","","0","1","0","1","","4","0","","0","","","","",""
"Clube Atlético Paranaense","","0","0","0","0","","0","0","","0","","","","",""
"COC","Educação","0","2","0","3","anunciante","8","0","São Paulo","5","acima R$ 5 Mi","São Paulo","agência","Grande",""
"Coca Cola","","0","0","0","0","","0","0","","0","","","","",""
"Cocel","","1","0","0","0","","0","0","","0","","","","",""
"Cocel","","0","0","0","0","","0","0","","0","","","","",""
"Codere","","0","0","0","0","","0","0","","0","","","","",""
"Cohoo Digital","","0","1","0","1","","0","0","","0","","","","",""
"Colcci","","0","0","0","0","","0","0","","0","","","","",""
"Colégio Agape","","1","0","0","0","","3","0","","0","","","","",""
"Colégio Agape","","0","0","0","0","","0","0","","0","","","","",""
"Colégio Anchieta","","0","0","2","0","","3","0","","0","","","","",""
"Colégio Anchieta","","0","0","0","0","","0","0","","0","","","","",""
"Colégio Energia","","0","0","0","0","","0","0","","0","","","","",""
"Colégio Energia","","1","0","0","2","","2","0","","0","","","","",""
"Colégio Erasto","","1","0","0","0","","2","0","","0","","","","",""
"Colégio Erasto","","0","0","0","0","","0","0","","0","","","","",""
"Colméia","","0","0","0","0","","0","0","","0","","","","",""
"Comasa","Automotivo","0","2","0","2","anunciante","2","0","Londrina","3","R$ 100 a 999 Mil","Paraná","agência","Médio",""
"Combo Promocional","","0","0","0","0","","0","0","","0","","","","",""
"Comfortflex","Couro e Calçados","0","0","1","0","anunciante","0","0","Nova Hartz","0","acima R$ 5 Mi","Rio Grande do Sul","agência","Médio",""
"Compacta Comunicação","","1","1","0","0","","2","0","","0","","","","",""
"Compacta Comunicação","","0","0","0","0","","0","0","","0","","","","",""
"Comper","","1","0","0","2","","5","0","","0","","","","",""
"Competence (RS)","","1","6","12","24","agência","15","33","Porto Alegre","0","","","","",""
"Comusa Novo Hamburgo","Serviços Públicos","1","0","0","0","anunciante","4","0","Novo Hamburgo","0","R$ 100 a 999 Mil","Rio Grande do Sul","agência","",""
"Concessionárias CCV","Automotivo","0","0","0","0","","0","0","Curitiba","5","R$ 100 a 999 Mil","","agência","",""
"Concorrência","","1","0","0","0","","1","0","","0","","","","",""
"Concorrencia","","1","0","0","0","","1","0","","0","","","","",""
"Concorrencia app Mobilidade","","0","0","0","1","","0","0","","0","","","","",""
"Condor Supermercados","Comércio - Atacado e Varejo","1","1","0","3","anunciante","6","0","Curitiba","3","R$ 100 a 999 Mil","Paraná","agência","Grande",""
"Conesul NH","","0","0","0","0","","0","0","","0","","","","",""
"Conexão NF-e","","0","1","0","1","","0","0","","0","","","","",""
"ContaAzul","Financeiro","0","1","14","0","anunciante","0","0","Joinville","0","R$ 100 a 999 Mil","Santa Catarina","direto","Pequeno","Médio"
"Contabilizei","Financeiro","0","1","0","1","anunciante","2","0","curitiba","3","acima R$ 5 Mi","Paraná","direto","Médio",""
"Converse","","0","1","0","0","","0","1","","0","","","","",""
"Cooperativa Frisa","","0","0","0","0","","0","0","","0","","","","",""
"Cooperativa Frisia","","0","0","0","1","","2","0","","0","","","","",""
"Copel","","1","0","2","0","","3","0","","0","","","","",""
"Corsan","Serviços Públicos","0","0","0","0","anunciante","0","0","Porto Alegre","5","acima R$ 5 Mi","Rio Grande do Sul","agência","Grande",""
"Cota Investimentos","","1","0","0","0","","1","0","","0","","","","",""
"Cravo&Canela","","0","0","0","0","","0","0","","0","","","","",""
"Creative Bizz","","0","1","1","0","","0","0","","0","","","","",""
"CreativeBizz","","0","1","0","1","agência","0","0","","0","","","","",""
"Crédito Real","","0","0","0","0","","0","0","","0","","","","",""
